symbol,concept,contexts,types
absintheLiquorPlant,grief,generalOrUnknown,Simulation
acaciaPycnantha,australia,generalOrUnknown,Simulation
acalia,temperance,flowerLanguage,Simulation
acerRubrum,rhodeIsland,generalOrUnknown,Simulation
ache,mentalOrSpiritualDisorder,generalOrUnknown,Simulation
aCrown,adelanteFraternity,heraldic,Simulation
adultTigerBeetle,phiChi,heraldic,Simulation
advanceAustraliaFair,australia,generalOrUnknown,Simulation
aegukga,southKorea,generalOrUnknown,Simulation
aegukka,northKorea,generalOrUnknown,Simulation
aesculusGlabra,ohio,generalOrUnknown,Simulation
afghanNationalAnthem,afghanistan,generalOrUnknown,Simulation
africanLion,deltaTauLambda,heraldic,Simulation
agathaOfSicily,malta,generalOrUnknown,Simulation
agnusdei,christ,generalOrUnknown,EmblematicSimulation
ahsanManzil,bangladesh,generalOrUnknown,Simulation
aiaaira,abkhazia,generalOrUnknown,Simulation
ailanthus,virtueGrowingOutOfButUntaintedBySin,generalOrUnknown,Simulation
airi,theGhostOfAManKilledWhileHunting,indic,Simulation
aJMeerwald,newJersey,generalOrUnknown,Simulation
akhalTeke,turkmenistan,generalOrUnknown,Simulation
aKnife,maahes,egyptian,Simulation
alabamaJuliaTutwilerSong,alabama,generalOrUnknown,Simulation
alabamaRedBelliedCooter,alabama,generalOrUnknown,Simulation
alabamaStateBible,alabama,generalOrUnknown,Simulation
alabamaStateCreed,alabama,generalOrUnknown,Simulation
alabamaTheatre,alabama,generalOrUnknown,Simulation
aladdin,selfRealizationThroughAJourney,generalOrUnknown,Simulation
aladdinSLamp,maleMasturbationAndItsObjectifiedEmotionalConsequences,generalOrUnknown,Simulation
alaskanMalamute,alaska,generalOrUnknown,Simulation
alaskaSFlag,alaska,generalOrUnknown,Simulation
aLaurelWithStars,omicronDeltaKappa,heraldic,Simulation
albertaLegislatureBuilding,alberta,generalOrUnknown,Simulation
albertaSong,alberta,generalOrUnknown,Simulation
alcestis,sacrifice,greek,Simulation
alcyoneStar,riverOfHeaven,greek,Simulation
aleksisKivi,finland,generalOrUnknown,Simulation
